 ,3,76,6,05,1000,16,38,18,4,1355,005,1350,015,0,012,1,1,9,9999,9,9999,0,99,4,1,0,9,00,9,9,9
 ,2,76,6,05,1000,11,39,01,5,1220,008,9999,999,9,999,9,3,9,9999,1,0025,9,99,9,9,9,9,99,9,9,9
 ,1,76,6,05,0010,12,44,25,4,1700,004,1704,030,1,127,3,2,9,9999,1,0051,1,50,4,2,1,9,99,1,1,9
 ,1,76,6,05,1000,32,38,05,5,1350,025,9999,045,0,078,9,9,9,9999,2,0000,1,00,9,9,1,9,00,9,9,9
 ,2,76,6,05,1000,24,38,28,4,1316,004,9999,999,9,999,9,2,9,9999,1,0051,9,99,9,9,9,9,99,9,9,9
 ,1,76,6,05,0001,12,40,24,4,1440,006,1429,120,0,127,2,2,9,9999,1,0305,0,99,4,3,1,9,99,2,1,9
 ,1,76,6,05,0100,16,40,26,4,1230,020,1230,060,1,127,3,2,9,9999,2,0000,1,90,4,2,1,9,00,2,9,9
 ,1,76,6,05,0100,17,39,27,4,1330,005,1320,020,1,025,2,1,9,9999,2,0000,1,50,4,1,1,9,00,2,1,9
 ,3,76,6,05,1000,33,37,24,4,1430,002,1415,115,0,063,1,9,9,9999,9,9999,1,00,4,1,2,9,99,9,9,9
 ,1,76,6,05,0100,12,40,25,4,1415,008,1423,060,1,127,2,2,9,9999,2,0000,1,90,2,1,0,9,00,4,9,9
 ,1,76,6,05,0010,02,36,19,4,1340,006,1330,015,0,050,2,1,9,9999,2,0000,1,25,4,1,1,9,99,9,1,9
 ,2,76,6,05,1000,26,33,05,5,9999,999,9999,999,9,999,9,2,9,9999,9,9999,9,99,9,9,9,9,99,9,9,9
 ,1,76,6,05,0010,16,38,27,4,1220,023,1200,003,1,063,2,2,9,9999,2,0000,1,99,4,2,0,9,99,9,9,9
 ,1,76,6,05,0100,11,39,05,5,1308,003,1305,035,9,999,2,2,9,9999,2,0000,1,00,2,9,0,9,99,9,9,9
 ,1,76,6,05,0100,23,31,27,4,1423,004,1405,999,0,017,3,2,9,9999,2,0000,1,25,4,9,0,9,99,9,9,9
 ,1,76,6,05,0001,35,33,05,5,1200,008,9999,999,9,999,2,2,9,9999,2,0000,1,25,4,1,1,9,00,9,9,9
 ,1,76,6,05,1000,02,41,26,4,1335,004,1325,070,0,127,2,2,9,9999,2,0000,1,00,1,3,0,9,00,0,1,9
 ,1,76,6,05,0100,07,41,01,5,1305,015,1320,999,9,999,2,2,9,9999,2,0000,1,50,1,1,0,9,99,9,9,9
 ,1,76,6,05,0100,28,36,05,5,1225,010,1225,020,9,999,2,9,9,9999,2,0000,1,90,4,1,2,9,99,9,9,9
 ,1,76,6,05,0010,09,36,05,5,1225,010,9999,015,9,999,2,9,9,9999,9,9999,1,99,9,9,0,9,00,9,9,9
 ,1,76,6,05,1000,36,38,28,4,1325,010,1320,090,1,127,2,2,9,9999,3,0025,1,70,4,1,0,9,99,9,9,9
 ,1,76,6,05,0001,18,39,26,4,1345,003,1340,052,0,104,2,9,9,9999,2,0000,1,95,4,9,0,9,99,9,9,9
 ,1,76,6,05,1000,32,36,28,4,1330,999,9999,999,9,999,9,1,9,9999,9,9999,9,99,9,9,9,9,99,9,9,9
 ,2,76,6,05,0001,17,40,17,4,1355,010,1330,040,0,127,1,1,9,9999,9,9999,1,70,9,9,0,9,00,1,1,9
 ,1,76,6,05,0001,35,32,05,5,1148,015,1145,037,1,190,4,1,9,9999,2,0000,1,90,4,1,0,9,99,4,9,9
 ,1,76,6,05,0010,01,44,03,5,1425,999,1400,060,1,127,2,2,9,9999,2,0000,1,95,4,1,0,9,00,9,9,9
 ,1,76,6,05,0010,06,39,05,5,1305,015,1300,020,9,999,4,3,9,9999,2,0000,1,90,9,9,0,9,99,9,9,9
 ,1,76,6,05,0100,18,38,06,5,1240,012,1240,025,9,999,2,2,9,9999,2,0000,1,75,4,1,0,9,00,9,9,9
 ,1,76,6,05,1000,26,28,28,4,1410,008,1410,999,1,050,2,2,9,9999,1,0025,1,70,3,1,1,9,99,0,1,9
 ,1,76,6,05,0010,29,38,04,5,1300,007,9999,999,0,043,2,1,9,9999,2,0000,1,99,4,2,0,9,99,9,9,9
